timestamp,ax,ay,az,gx,gy,gz,pressing_id
525135,-16388,11439,14840,-4422,-10415,28170,1
525148,-16372,10561,14004,-3898,-9960,27163,1
525161,-16312,10141,13283,-3168,-9603,25885,1
525173,-13956,7966,12980,-1291,-9772,23035,1
525187,-11755,7012,13600,-55,-9682,22023,1
525199,-10315,6223,14979,1256,-9235,21648,1
525212,-9761,5152,17854,2393,-8009,21610,1
525225,-9973,4721,18506,2027,-7848,21458,1
525237,-9565,3837,18628,581,-9316,20641,1
525250,-8910,3251,18582,625,-9567,20208,1
525263,-8724,2832,19144,1275,-9087,20076,1
525276,-9928,2892,20683,2110,-7948,20231,1
525288,-10572,2598,21608,1887,-7974,20351,1
525301,-11989,2608,22260,1401,-7630,20550,1
525314,-15775,2448,21299,334,-5172,19544,1
525327,-16635,1639,20330,277,-4067,18213,1
525340,-17115,737,19982,469,-3833,16910,1
525352,-17360,-597,19669,30,-4587,14265,1
525365,-17468,-1328,18645,-773,-4919,12886,1
525378,-17484,-3536,14303,-1819,-4727,11229,1
525391,-15532,-4081,12527,-2401,-4376,7922,1
525403,-13825,-4476,11184,-1997,-4156,6607,1
525417,-10464,-4714,10686,-172,-3157,5103,1
525429,-9162,-4413,11573,836,-2961,5002,1
525442,-7885,-4098,12690,1539,-2799,5056,1
525455,-6652,-2772,14397,1921,-2178,5588,1
525468,-6180,-1752,14330,1663,-1962,5796,1
525480,-6882,-1246,13677,1548,-1439,5975,1
525493,-8957,-2365,16601,3574,-301,4887,1
525506,-8634,-2537,18268,3831,328,3621,1
525519,-7802,-2503,18516,2832,648,2387,1
525562,-2636,-5735,10294,1342,-196,-816,1
525574,-1374,-5651,11143,2904,-11,-790,1
525587,338,-4818,14678,5062,486,343,1
525600,24,-4186,16532,5258,718,1400,1
525613,-1879,-3475,18006,4862,732,2359,1
525625,-5552,-3110,18480,2936,-279,1901,1
525638,-5240,-3408,18053,2083,-722,644,1
525651,-3694,-3560,17217,1376,-743,-478,1
525664,-865,-4209,15790,1038,-98,-791,1
525677,-742,-4248,15772,1214,-37,-195,1
525689,-1832,-3751,16193,1429,-518,525,1
525702,-2060,-3576,16273,1400,-753,371,1
525714,-1911,-3399,16423,1421,-1029,87,1
525728,-898,-3381,16897,1579,-1106,-244,1
525740,-721,-3355,17188,1607,-622,-84,1
525753,-890,-3388,17347,1589,-142,133,1
525766,-1351,-3611,17417,1285,-360,240,1
525779,-1182,-3598,17200,955,-778,77,1
525791,-682,-3783,17019,666,-1023,-19,1
525804,-581,-3792,16496,490,-297,331,1
525817,-1049,-3513,16205,595,-78,503,1
525829,-642,-3639,16249,783,-366,513,1
525842,-174,-3182,17366,1079,-861,1180,1
525855,-838,-2866,17613,948,-705,1633,1
525868,-1704,-2684,17086,692,-501,1861,1
525881,-2568,-2680,16972,439,-265,1171,1
525893,-1811,-2887,17102,520,-18,606,1
525906,-985,-3053,17171,423,334,249,1
525919,-976,-3233,16841,110,-28,270,1
525932,-965,-3526,16298,-167,-478,281,1
525944,-1146,-3541,15842,-132,-611,353,1
525957,-1390,-3517,15659,-51,-234,383,1
525970,-1489,-3549,15393,-2,114,346,1
525983,-938,-3284,15654,315,80,352,1
525995,-1303,-2929,16177,418,-182,566,1
526008,-1749,-2706,16722,395,-679,647,1
526021,-1359,-2262,17056,-327,-1217,426,1
526033,-1161,-2469,16447,-574,-782,382,1
526047,-2031,-2521,16124,-377,-201,393,1
526059,-2363,-2292,16791,312,350,-10,1
526072,-2251,-2108,17364,227,177,-548,1
526085,-143,-2173,15797,-921,-669,-865,1
526098,171,-2421,14420,-1084,-1022,-357,1
