timestamp,ax,ay,az,gx,gy,gz,pressing_id
1622592,32711,32742,-13484,32764,-32764,-9398,6
1622604,32711,32742,13197,32764,-32764,-6786,6
1622617,32711,32742,23643,32764,-32764,-6855,6
1622630,32711,32742,32046,32764,-32764,-6844,6
1622643,32711,32742,15652,32764,-27697,3156,6
1622656,32711,32742,7683,32764,-24599,5961,6
1622668,32711,32742,21330,32764,-26284,6887,6
1622681,32711,32742,32764,32764,-32764,24030,6
1622694,32711,32742,32764,32764,-32764,32484,6
1622707,32711,32742,32764,32764,-32764,32764,6
1622719,29288,32742,32764,32373,-32764,22671,6
1622732,32711,32742,32764,20117,-32764,11887,6
1622745,22275,32742,32764,2214,-13795,16958,6
1622758,-7310,29637,26746,10868,6036,22568,6
1622771,-31358,26723,27666,22700,16342,22738,6
1623715,-6979,-6620,-14843,-3779,-3127,-329,7
1623729,-5322,-6969,-14066,-2940,-3592,-464,7
1623741,-5317,-6584,-13034,-2713,-3489,50,7
1623754,-4941,-7555,-14250,-2851,-1866,1478,7
1623767,-5840,-7302,-14517,-2389,-1150,2458,7
1623779,-6877,-7028,-14687,-1824,-836,3012,7
1623792,-8063,-6555,-14115,-1194,-252,3144,7
1623805,-8012,-6105,-13942,-894,273,2861,7
1623818,-7642,-5762,-13466,-569,496,2587,7
1623830,-7698,-5188,-13683,-460,541,2346,7
1623843,-7419,-4829,-14687,-413,355,2214,7
1623856,-5854,-3266,-17716,596,-929,2546,7
1623869,-5265,-1949,-19885,1682,-1583,3091,7
1623882,-5305,-676,-21506,3594,-1597,3485,7
1623894,-6137,2455,-25117,8903,48,3327,7
1623907,-5018,4829,-27373,12393,97,2707,7
1623920,-3405,7055,-28724,16194,-996,2467,7
1623933,-689,12022,-32145,24309,-2904,2867,7
1623945,-1481,15245,-32742,29002,-2939,3284,7
1623958,-2211,18800,-32742,32448,-3556,2959,7
1623971,-572,27968,-32742,32764,-7359,472,7
1623984,2468,32500,-32742,32764,-10122,-1649,7
1623997,6295,32742,-27704,32764,-13321,-3673,7
1624009,18108,32742,-23702,32764,-20174,-6324,7
1624022,24253,32742,-19952,32764,-22877,-6259,7
1624035,32711,32742,-7026,32764,-28802,-3001,7
1624048,32711,32742,-1578,32764,-31888,-643,7
1624061,32054,32742,3950,32764,-32764,450,7
1624073,32711,32742,20988,32764,-32764,-2381,7
1624086,32711,32742,27433,32764,-32764,-2902,7
1624099,32711,32742,28787,32764,-32764,-603,7
1624112,32711,32742,25326,32764,-32764,7358,7
1624125,29302,32742,24841,32764,-31980,8639,7
1624138,24233,32742,24988,32764,-30205,8485,7
1624150,27881,32742,31926,32764,-30675,4174,7
1624163,32711,32742,32764,32764,-32600,4457,7
1624176,31840,32742,31890,32764,-32764,19991,7
1624188,26715,32742,29429,32764,-32764,21250,7
